abilities,attack,classfication,defense,height_m,hp,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
"['Inner Focus', 'Telepathy', 'Symbiosis']",60,Sage Pokémon,80,1.5,90,Oranguru,50.0,765,90,110,60,normal,psychic,76.0,7,0
"['Receiver', 'Defiant']",120,Teamwork Pokémon,90,2.0,100,Passimian,50.0,766,40,60,80,fighting,,82.8,7,0
['Wimp Out'],35,Turn Tail Pokémon,40,0.5,25,Wimpod,50.0,767,20,30,80,bug,water,12.0,7,0
['Emergency Exit'],125,Hard Scale Pokémon,140,2.0,75,Golisopod,50.0,768,60,90,40,bug,water,108.0,7,0
"['Water Compaction', 'Sand Veil']",55,Sand Heap Pokémon,80,0.5,55,Sandygast,50.0,769,70,45,15,ghost,ground,70.0,7,0
"['Water Compaction', 'Sand Veil']",75,Sand Castle Pokémon,110,1.3,85,Palossand,50.0,770,100,75,35,ghost,ground,250.0,7,0
"['Innards Out', 'Unaware']",60,Sea Cucumber Pokémon,130,0.3,55,Pyukumuku,50.0,771,30,130,5,water,,1.2,7,0
['Battle Armor'],95,Synthetic Pokémon,95,1.9,95,Type: Null,,772,95,95,59,normal,,120.5,7,0
['RKS System'],95,Synthetic Pokémon,95,2.3,95,Silvally,,773,95,95,95,normal,,100.5,7,0
['Shields Down'],100,Meteor Pokémon,60,0.3,60,Minior,,774,100,60,120,rock,flying,40.0,7,0
['Comatose'],115,Drowsing Pokémon,65,0.4,65,Komala,50.0,775,75,95,65,normal,,19.9,7,0
['Shell Armor'],78,Blast Turtle Pokémon,135,2.0,60,Turtonator,50.0,776,91,85,36,fire,dragon,212.0,7,0
"['Iron Barbs', 'Lightningrod', 'Sturdy']",98,Roly-Poly Pokémon,63,0.3,65,Togedemaru,50.0,777,40,73,96,electric,steel,3.3,7,0
['Disguise'],90,Disguise Pokémon,80,0.2,55,Mimikyu,50.0,778,50,105,96,ghost,fairy,0.7,7,0
"['Dazzling', 'Strong Jaw', 'Wonder Skin ']",105,Gnash Teeth Pokémon,70,0.9,68,Bruxish,50.0,779,70,70,92,water,psychic,19.0,7,0
"['Berserk', 'Sap Sipper', 'Cloud Nine']",60,Placid Pokémon,85,3.0,78,Drampa,50.0,780,135,91,36,normal,dragon,185.0,7,0
['Steelworker'],131,Sea Creeper Pokémon,100,3.9,70,Dhelmise,,781,86,90,40,ghost,grass,210.0,7,0
"['Bulletproof', 'Soundproof', 'Overcoat']",55,Scaly Pokémon,65,0.6,45,Jangmo-o,50.0,782,45,45,45,dragon,,29.7,7,0
"['Bulletproof', 'Soundproof', 'Overcoat']",75,Scaly Pokémon,90,1.2,55,Hakamo-o,50.0,783,65,70,65,dragon,fighting,47.0,7,0
"['Bulletproof', 'Soundproof', 'Overcoat']",110,Scaly Pokémon,125,1.6,75,Kommo-o,50.0,784,100,105,85,dragon,fighting,78.2,7,0
"['Electric Surge', 'Telepathy']",115,Land Spirit Pokémon,85,1.8,70,Tapu Koko,,785,95,75,130,electric,fairy,20.5,7,1
"['Psychic Surge', 'Telepathy']",85,Land Spirit Pokémon,75,1.2,70,Tapu Lele,,786,130,115,95,psychic,fairy,18.6,7,1
"['Grassy Surge', 'Telepathy']",130,Land Spirit Pokémon,115,1.9,70,Tapu Bulu,,787,85,95,75,grass,fairy,45.5,7,1
"['Misty Surge', 'Telepathy']",75,Land Spirit Pokémon,115,1.3,70,Tapu Fini,,788,95,130,85,water,fairy,21.2,7,1
['Unaware'],29,Nebula Pokémon,31,0.2,43,Cosmog,,789,29,31,37,psychic,,0.1,7,1
['Sturdy'],29,Protostar Pokémon,131,0.1,43,Cosmoem,,790,29,131,37,psychic,,999.9,7,1
['Full Metal Body'],137,Sunne Pokémon,107,3.4,137,Solgaleo,,791,113,89,97,psychic,steel,230.0,7,1
['Shadow Shield'],113,Moone Pokémon,89,4.0,137,Lunala,,792,137,107,97,psychic,ghost,120.0,7,1
['Beast Boost'],53,Parasite Pokémon,47,1.2,109,Nihilego,,793,127,131,103,rock,poison,55.5,7,1
['Beast Boost'],139,Swollen Pokémon,139,2.4,107,Buzzwole,,794,53,53,79,bug,fighting,333.6,7,1
['Beast Boost'],137,Lissome Pokémon,37,1.8,71,Pheromosa,,795,137,37,151,bug,fighting,25.0,7,1
['Beast Boost'],89,Glowing Pokémon,71,3.8,83,Xurkitree,,796,173,71,83,electric,,100.0,7,1
['Beast Boost'],101,Launch Pokémon,103,9.2,97,Celesteela,,797,107,101,61,steel,flying,999.9,7,1
['Beast Boost'],181,Drawn Sword Pokémon,131,0.3,59,Kartana,,798,59,31,109,grass,steel,0.1,7,1
['Beast Boost'],101,Junkivore Pokémon,53,5.5,223,Guzzlord,,799,97,53,43,dark,dragon,888.0,7,1
['Prism Armor'],107,Prism Pokémon,101,2.4,97,Necrozma,,800,127,89,79,psychic,,230.0,7,1
['Soul-Heart'],95,Artificial Pokémon,115,1.0,80,Magearna,,801,130,115,65,steel,fairy,80.5,7,1
